Nombre,Domicilio
"LACTANTE, MATERNAL Y PREESCOLAR - CENDI SEP NO 08 LUIS G URBINA","RETORNO 801 M-8 NO 18, EL CENTINELA, DELEGACION COYOACAN, MEXICO DF."
PRIMARIA GENERAL - ESTEFANIA CASTAÑEDA,"CARLOTA ARMERO S/N, UNIDAD HABITACIONAL C T M, DELEGACION COYOACAN, MEXICO DF."
PRIMARIA GENERAL - SIRIA,"JAPON Y CANTON S/N, ROMERO RUBIO, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PRIMARIA GENERAL - PROFR. RAFAEL CRUZ MANJARREZ,"ROSAL NO 248, SAN PEDRO MARTIR, DELEGACION TLALPAN, MEXICO DF."
PRIMARIA GENERAL - MARTINA ISLAS,"ENSEÑANZA NO 3, SAN PEDRO MARTIR, DELEGACION TLALPAN, MEXICO DF."
PRIMARIA GENERAL - HEROE ANTONIO REYES,"PTO MATAMOROS Y MAZATLAN S/N, AMPLIACION CASAS ALEMAN, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - ANTONIO CISNEROS Y CISNEROS,"CALLE DE LA BRECHA S/N, TLALPEXCO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - PROFRA. VIRGINIA RIVERA LOZANO,
SECUNDARIA PARA TRABAJADORES - IGNACIO RAMIREZ,
PRIMARIA GENERAL - PROFR. MANUEL QUIROZ MARTINEZ,"AV ANTIGUA VIA LA VENTA S/N, COLONIA LOMAS DE BECERRA, DELEGACION ALVARO OBREGON, MEXICO DF."
PRIMARIA GENERAL - MAESTRO FELIX JIMENEZ NAJERA,"PROLG MIGUEL NEGRETE S/N, BARRIO GUADALUPE, DELEGACION TLAHUAC, MEXICO DF."
PREESCOLAR GENERAL - TIZAPAN,"RIO CHICO S/N, COLONIA TIZAPAN, DELEGACION ALVARO OBREGON, MEXICO DF."
PRIMARIA GENERAL - LUIS PENICHE VALLADO,
PRIMARIA GENERAL - PROFRA. ENRIQUETA LEON GONZALEZ,"SANTA BALBINA Y SAN FRANCISCO, COLONIA MOLINO DE SANTO DOMINGO, DELEGACION ALVARO OBREGON, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 116,"CALLE MONTES PIRINEOS ESQUINA MAR DE LA CRISIS, SAN FRANCISCO TLALTENCO, DELEGACION TLAHUAC, MEXICO DF."
PREESCOLAR GENERAL - TLAHUAC,"AVENIDA HIDALGO Y CUITLAHUAC S/N, BARRIO SAN MATEO, DELEGACION TLAHUAC, MEXICO DF."
PREESCOLAR GENERAL - MARIA LAVALLE URBINA,"RIO CHURUBUSCO Y SUR 8 S/N, CUCHILLA AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF."
PREESCOLAR - IGNACIO RAMIREZ,"AVENIDA RIO CONSULADO 2874, PENSADOR MEXICANO, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 7,"FERROCARRIL DE CINTURA NUM 85, MORELOS, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
SECUNDARIA GENERAL - OCELOTL,"PROL 2 DE ABRIL, PUEBLO SANTA CRUZ ACALPIXCA, DELEGACION XOCHIMILCO, MEXICO DF."
PRIMARIA GENERAL - CHIPRE,"PROLG CANARIAS NO 53, SAN SIMON TICUMAN, DELEGACION BENITO JUAREZ, MEXICO DF.."
SECUNDARIA GENERAL - SILVESTRE REVUELTAS,"VILLA CUAUHTEMOC Y VILLA MOTOLIN, VILLA DE ARAGON, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PREESCOLAR GENERAL - MANUEL EDUARDO DE GOROSTIZA,"GRANJAS NO 39, LOMAS DE PALO ALTO, DELEGACION CUAJIMALPA DE MORELOS, MEXICO DF."
PRIMARIA GENERAL - PROFR. RAFAEL MOLINA BETANCOURT,"PLAN DE AYUTLA Y BANDERA, TICOMAN, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PREESCOLAR GENERAL - LA PASTORA,"CUAUHTEMOC Y MOCTEZUMA, LA PASTORA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
"INTERVENCION TEMPRANA, PREESCOLAR, PRIMARIA Y CAPACITACION LABORAL ESPECIAL - CENTRO DE ATENCION MULTIPLE 55  M","IRIS S/N, JARDINES DE COYOACAN, DELEGACION COYOACAN, MEXICO DF."
PRIMARIA GENERAL - CARMEN SERDAN ALATRISTE,"CALZ DE TLALPAN NO 1728, COUNTRY CLUB CHURUBUSCO, DELEGACION COYOACAN, MEXICO DF."
PREESCOLAR GENERAL - DOLORES GUERRERO,"BELISARIO DOMINGUEZ Y AV MEXICO, COYOACAN, DELEGACION COYOACAN, MEXICO DF."
PREESCOLAR GENERAL - FRANCISCO GABILONDO SOLER,"RETORNO 1 AV.INGENIEROS MILITARES S/N, NIDAD HAB LOMAS DE SOTELO, DELEGACION MIGUEL HIDALGO, MEXICO DF."
SECUNDARIA GENERAL - IGNACIO MANUEL ALTAMIRANO,"CARLOS B ZETINA NO 109 ESQ MARTI, ESCANDON, DELEGACION MIGUEL HIDALGO, MEXICO DF."
PRIMARIA GENERAL - VICENTE GUERRERO,"MINA NO 5, PUEBLO SAN MATEO TLALTENANGO, DELEGACION CUAJIMALPA DE MORELOS, MEXICO DF."
PREESCOLAR GENERAL - ACAXOCHITL,"JOHN F. KENNEDY S/N, COLONIA AMPLIACION PRESIDENTES, DELEGACION ALVARO OBREGON, MEXICO DF."
PRIMARIA GENERAL - GUADALUPE VICTORIA,"FELIPE VILLANUEVA NO 18, COLONIA GUADALUPE INN, DELEGACION ALVARO OBREGON, MEXICO DF"
PRIMARIA GENERAL - REPUBLICA DE HUNGRIA,"GLORIA Y GIRASOL, JUAN GONZALEZ ROMERO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - JUAN ESCUTIA,"EL BALCON S/N, COLONIA TETELPAN, DELEGACION ALVARO OBREGON, MEXICO DF."
PRIMARIA GENERAL - MTRA. GUADALUPE NUÑEZ Y PARRA,"CALZ MISTERIOS NO 795, GUSTAVO A. MADERO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - ALFONSO PRUNEDA,"AV IXTACALA Y EJE 1 PONIENTE, SANTA ROSA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - PROFRA. AURORA LOPEZ VELARDE BERUMEN,"PERIFERICO SUR NO 7666, GRANJAS COAPA, DELEGACION TLALPAN, MEXICO DF."
PREESCOLAR GENERAL - MIGUEL HIDALGO,"AV DE LAS TORRES Y JESUS LECUONA, MIGUEL HIDALGO, DELEGACION TLAHUAC, MEXICO DF."
SECUNDARIA GENERAL - JUVENTINO ROSAS CADENAS,"TARASCOS FRENTE A CHONTALES, TLALCOLIGIA, DELEGACION TLALPAN, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 40,"AV DEL RIEGO S/N, VILLA COAPA, DELEGACION TLALPAN, MEXICO DF."
PRIMARIA GENERAL - JUAN JACOBO ROUSSEAU,"IZTACCIHUATL Y LOS PINOS NO 90, LA PRADERA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PREESCOLAR GENERAL - SILVINA JARDON,"PRIVADA ROSAS MORENO NO 15, SANTIAGO AHUIZOTLA, DELEGACION AZCAPOTZALCO, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 85,"CAMINO A CUAUTEPEC Y CHALMITA, EL ARBOLILLO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PREESCOLAR GENERAL - AMANTECATL,"DEMOCRACIAS NO 46, PUEBLO SAN MIGUEL AMANTLA, DELEGACION AZCAPOTZALCO, MEXICO DF."
PRIMARIA GENERAL - SANTIAGO R. DE LA VEGA,"PROLG BOLIVAR NO 1101, PERIODISTAS, DELEGACION BENITO JUAREZ, MEXICO DF.."
PRIMARIA GENERAL - MARTIRES DE LA LIBERTAD,"AV AZCAPOTZALCO NO 574, AZCAPOTZALCO, DELEGACION AZCAPOTZALCO, MEXICO DF."
PRIMARIA GENERAL - VIDAL RIVERO,"PROLG CIPRES NO 601, DEL GAS, DELEGACION AZCAPOTZALCO, MEXICO DF."
"INTERVENCION TEMPRANA, PREESCOLAR, PRIMARIA Y CAPACITACION LABORAL ESPECIAL - CENTRO DE ATENCION MULTIPLE 40  M","MELCHOR OCAMPO NO  1, SANTO TOMAS AJUSCO, DELEGACION TLAHUAC, MEXICO DF."
PREESCOLAR GENERAL - CADI JUAN N. ALVAREZ,"AV. RIO CHURUBUSCO ESQ. CANELA S/N, GRANJAS MEXICO, DELEGACION IZTACALCO, MEXICO DF."
PRIMARIA GENERAL - ROBERTO MEDELLIN,"AV EMILIANO ZAPATA NO 30, PUEBLO SAN NICOLAS TETELCO, DELEGACION TLAHUAC, MEXICO DF."
PREESCOLAR GENERAL - SUSAN BLUW GRIMSLY,"CALLE UNO NO 181, PANTITLAN, DELEGACION IZTACALCO, MEXICO DF."
PRIMARIA GENERAL - CALTLAMACHTILLI,"NITLA NO 24, TLAZINTLA, DELEGACION IZTACALCO, MEXICO DF."
